Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.018628,-0.0015548,0.00027373,0,0,0,0.6304,0.00067534,4.6709E-06,5.5758E-06,0.00079108,2.0138E-06,0.00043164,0,0,0,0,0,0,package://spot_micro_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_shoulder_link,-0.023049,-0.011251,0.0030217,0,0,0,0.053836,1.231E-05,-1.9988E-08,-8.2538E-14,8.5609E-06,-1.9212E-07,1.4971E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_shoulder_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_shoulder_link.STL,,left_leg_shoulder-1,Origin_front_left_shoulder_joint,Axis_front_left_shoulder_joint,front_left_shoulder_joint,revolute,-0.0766,-0.039001,0.009,1.5708,0,0,base_link,1,0,0,3,8,0,3.14,,,,,,,,
front_left_thigh_link,-0.00619574210169503,-0.0586729076344665,0.0234486520688062,0,0,0,0.109646588121453,3.43822794991822E-05,-1.36658518464627E-06,4.00818780959156E-09,2.15851963413449E-05,3.79570403324651E-08,2.9454540056775E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_thigh_link.STL,,left_leg_thigh-1,Origin_front_left_thigh_joint,Axis_front_left_thigh_joint,front_left_thigh_joint,revolute,-0.0234,0,0.0226,0,0,0.10521,front_left_shoulder_link,0,0,1,3,8,0,3.14,,,,,,,,
front_left_calf_link,-0.00595727051237509,-0.0564146722989532,0.0234012848282968,0,0,0,0.0330275385657959,3.10009122380525E-05,-2.92145799615948E-06,-2.82975208686277E-10,3.64357397824859E-06,-2.57299901780593E-09,2.94958948717816E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_left_calf_link.STL,,calf-2,Origin_front_left_calf_joint,Axis_front_left_calf_joint,front_left_calf_joint,revolute,-0.012392,-0.11735,0,0,0,0,front_left_thigh_link,0,0,1,3,8,0,3.14,,,,,,,,
rear_left_shoulder_link,0.0221010638498274,-0.0112512521280316,0.00302167917225548,0,0,0,0.0538361698312507,1.23096037990251E-05,-1.99883382279228E-08,-8.25378897583322E-14,8.56085307877809E-06,-1.9211541118935E-07,1.49711229821547E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_left_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_left_shoulder_link.STL,,left_leg_shoulder-2,Origin_rear_left_shoulder_joint,Axis_rear_left_shoulder_joint,rear_left_shoulder_joint,revolute,0.07825,-0.03899,0.009,1.5708,0,0,base_link,1,0,0,3,8,0,3.14,,,,,,,,
rear_left_thigh_link,-0.00619574210169499,-0.0586729076344714,0.0234486520688073,0,0,0,0.109646588121453,3.43822794991822E-05,-1.36658518464627E-06,4.00818780953842E-09,2.15851963413449E-05,3.79570403324706E-08,2.94545400567749E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_left_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_left_thigh_link.STL,,left_leg_thigh-2,Origin_rear_left_thigh_joint,Axis_rear_left_thigh_joint,rear_left_thigh_joint,revolute,0.02175,0,0.0226,0,0,0.10521,rear_left_shoulder_link,0,0,1,3,8,0,3.14,,,,,,,,
rear_left_calf_link,-0.00595727051237364,-0.0564146722989437,0.0234012848282965,0,0,0,0.0330275385657959,3.10009122380525E-05,-2.92145799615948E-06,-2.82975208697723E-10,3.6435739782486E-06,-2.57299901782875E-09,2.94958948717816E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_left_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_left_calf_link.STL,,calf-1,Origin_rear_left_calf_joint,Axis_rear_left_calf_joint,rear_left_calf_joint,revolute,-0.012392,-0.11735,0,0,0,0,rear_left_thigh_link,0,0,1,3,8,0,3.14,,,,,,,,
rear_right_shoulder_link,-0.0221010443287984,-0.0112628264895643,0.00297824761232671,0,0,0,0.0538361698312506,1.2309603799025E-05,1.99782384661779E-08,7.6997140744477E-11,8.56243090796879E-06,-2.16841277928027E-07,1.4969545152964E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_right_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_right_shoulder_link.STL,,right_leg_shoulder-2,Origin_rear_right_shoulder_joint,Axis_rear_right_shoulder_joint,rear_right_shoulder_joint,revolute,0.07825,0.03901,0.009,1.5669,0,3.1416,base_link,1,0,0,3,8,0,3.14,,,,,,,,
rear_right_thigh_link,7.65536245506127E-12,-0.059090132196722,0.0234730601618335,0,0,0,0.109646588121453,3.4526588171037E-05,5.94998481211538E-20,-6.75995292695007E-20,2.14407124410559E-05,7.24927683589879E-09,2.94547152852092E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_right_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_right_thigh_link.STL,,right_leg_thigh-1,Origin_rear_right_thigh_joint,Axis_rear_right_thigh_joint,rear_right_thigh_joint,revolute,-0.02175,-8.6996E-05,0.022548,0,0,0,rear_right_shoulder_link,0,0.0038582,-0.99999,3,8,0,3.14,,,,,,,,
rear_right_calf_link,-0.00595727051237448,-0.0564146722989436,-0.0239501199137928,0,0,0,0.0330275385657959,3.10009122380525E-05,-2.9214579961595E-06,-2.82975208695504E-10,3.6435739782486E-06,-2.57299901779968E-09,2.94958948717816E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_right_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/rear_right_calf_link.STL,,calf-3,Origin_rear_right_calf_joint,Axis_rear_right_calf_joint,rear_right_calf_joint,revolute,0,-0.118,-0.00045526,3.1378,-0.00040516,3.0364,rear_right_thigh_link,0,0,1,3,8,0,3.14,,,,,,,,
front_right_shoulder_link,0.0230489556712015,-0.0112628264895641,0.00297824761232613,0,0,0,0.0538361698312505,1.2309603799025E-05,1.99782384661736E-08,7.69971407261538E-11,8.56243090796878E-06,-2.16841277928029E-07,1.4969545152964E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_shoulder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_shoulder_link.STL,,right_leg_shoulder-1,Origin_front_right_shoulder_joint,Axis_front_right_shoulder_joint,front_right_shoulder_joint,revolute,-0.0766,0.039021,0.009,1.5669,0,3.1416,base_link,1,0,0,3,8,0,3.14,,,,,,,,
front_right_thigh_link,7.65534857727346E-12,-0.059090132196722,0.0234730601618334,0,0,0,0.109646588121453,3.45265881710369E-05,5.59145117629383E-20,-5.25519513846097E-20,2.14407124410558E-05,7.24927683588759E-09,2.94547152852092E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_thigh_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_thigh_link.STL,,right_leg_thigh-2,Origin_front_right_thigh_joint,Axis_front_right_thigh_joint,front_right_thigh_joint,revolute,0.0234,-8.6996E-05,0.022548,0,0,0,front_right_shoulder_link,0,0.0038582,-0.99999,3,8,0,3.14,,,,,,,,
front_right_calf_link,-0.00595727051237431,-0.0564146722989437,-0.0239501199137927,0,0,0,0.0330275385657959,3.10009122380525E-05,-2.9214579961595E-06,-2.82975208683211E-10,3.6435739782486E-06,-2.57299901780539E-09,2.94958948717816E-05,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_calf_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spot_micro_urdf/meshes/front_right_calf_link.STL,,calf-4,Origin_front_right_calf_joint,Axis_front_right_calf_joint,front_right_calf_joint,revolute,0,-0.118,-0.00045526,3.1378,-0.00040516,3.0364,front_right_thigh_link,0,0,1,3,8,0,3.14,,,,,,,,
